,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,第四週排程,,,,,,,,,,生產數量,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,,上線時間,結束時間,備註,IE專用,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,第五週排程,,,,,,,,,,生產數量,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,月生產狀況,,,,,,,,,,,,,,,,,,,,,,,,,,,
